festival_id,festival_name,country_code,country_name,mapped
94138b5c-e673-4739-bd20-d952bc1b4cbc,!f Istanbul International Independent Film Festival,TR,Turkey,yes
4760bc63-5f27-4492-a9b2-bbd25dd714ba,25FPS Festival,,,no
e02b7806-7be9-48dd-ab27-036edd4efac7,AACTA International Awards,,,no
2eae33c7-57a9-4588-8b35-095ed60f7196,Academy Awards,US,United States,yes
f79af8d3-2497-4c1c-a913-b3593b0b0978,ACID Cannes,FR,France,yes
6a840ce2-e0f3-43d4-a24c-6dda3a84b072,Adelaide Film Festival,,,no
6e538a48-0391-4f5c-b53b-18808b101c4d,Aesthetica Short Film Festival,GB,United Kingdom,yes
38a8a7c9-a500-44d7-b5eb-72c6bfc7a6bd,AFI Fest,US,United States,yes
0ad24c09-d2ed-4022-81ee-10c5a5502bc5,Africa Movie Academy Awards,US,United States,yes
20d08ed2-76d7-405a-9161-d4470c3e2f2f,Akbank Short Film Festival,TR,Turkey,yes
3d200f40-b327-4615-8832-3c1b5a34ba49,Alice nella Città,,,no
2410e846-d268-496a-9f1a-4fe7c8019474,Amanda Awards (Norway),,,no
99aabe62-99b3-4744-8dbc-eb51bd073137,American Documentary and Animation Film Festival,,,no
4b009430-1645-4b22-b6ff-1971ecc0400c,Angers European First Film Festival,,,no
ccf8a11c-3c2e-4e44-bae4-03e283478a9d,Animafest Zagreb,HR,Croatia,yes
37ebcf51-fd01-4044-b6da-c2fb286b059a,Ann Arbor Film Festival,US,United States,yes
db673c9b-1127-439f-80d1-ba291433566e,Annecy International Animation Festival,FR,France,yes
99208657-b264-44ab-b77a-8707fcb8db4d,Annual Copenhagen Film Festival,DK,Denmark,yes
73bbfc2c-0b5e-47b3-9532-46d411d99ead,Antalya Golden Orange Film Festival,,,no
d5e2aade-ca92-405a-bffb-ab77dbb1041a,Antenna Documentary Film Festival,,,no
01e964ec-0630-4b7e-a7f9-d0c075d2875e,ARKIPEL International Documentary and Experimental Film Festival,,,no
d67214a5-93de-4d74-b0bf-ae46d7cbdd73,Aspen Shortsfest,US,United States,yes
9ea2d0e1-6e8e-4139-a9b6-536a6fb3bf66,Athens Digital Arts Festival,GR,Greece,yes
7a69022b-9c05-4157-a390-6fc7d2ac1ef2,Athens International Film and Video Festival,GR,Greece,yes
c9fbc930-d1df-4a3e-8812-7e3674975dd4,Athens International Film Festival,GR,Greece,yes
6fc3af94-3a23-48d2-b9c6-2d9b5612b78f,Atlanta Film Festival,US,United States,yes
3e0cd5ac-07ac-43e7-ad3e-717fb7488130,Austin Film Critics Association,US,United States,yes
74c792e7-a065-41ea-893f-52039334e64d,Austin Film Festival,US,United States,yes
cc0cb479-cc2a-4ab1-b3d1-1f06d7dbf6aa,Austrian Film Award,AT,Austria,yes
c03c9069-315b-4b51-b682-8977f1261c06,Available Light Festival,,,no
e2b304f5-cb79-4cb3-9967-27ddfd963b5d,BAFTA Awards,GB,United Kingdom,yes
240da28a-439d-4f22-8084-3f99b9e14987,BAFTA Awards (Scotland),GB,United Kingdom,yes
21105929-5bf6-456b-9df0-0677b707388c,Bangkok International Film Festival,,,no
88ad162d-9a36-4c17-902a-408fd8fecb36,Beijing International Short Film Festival,GB,United Kingdom,yes
2d313356-7dd0-4fa6-a31d-66d4ffd44ce2,Belfast Film Festival,GB,United Kingdom,yes
59838590-097a-4049-9238-7c77598a24dd,Bengaluru International Film Festival,,,no
f85ffeea-37d1-470c-a63a-d7e1742582a4,Bergen International Film Festival,NO,Norway,yes
5c5a7313-eee6-4813-aa00-3f7ef645f5ab,Berlin International Film Festival,DE,Germany,yes
2831d701-cf17-4ce0-a1f5-cd484a0ebc47,Berwick Film & Media Arts Festival,,,no
4819f7a7-21f7-48f4-ade4-d5feaf6dd54a,Beyond Fest,,,no
f505e431-38db-4f78-ac0f-30de991b4fcf,BFI Flare: London LGBTIQ+ Film Festival,GB,United Kingdom,yes
bfa7b59c-0cac-4bbc-a0b5-ddb91c34bfd4,BFI London Film Festival,GB,United Kingdom,yes
45de63b6-2d24-462c-8506-4c38bd837132,Biarritz Amerique Latine Festival,,,no
47c7d2ec-e418-4826-b9d8-dd4bde8b3488,Bilbao International Festival of Documentary and Short Films,ES,Spain,yes
fab2b99b-ae54-4b56-bc14-90f66a619e07,BlackStar Film Festival,,,no
d95a2a33-e022-4307-9779-030bbce3026f,Bodil Awards,,,no
8fcb4eb5-318b-4aa3-beab-b6179c344012,Bogoshorts - Bogota Short Film Festival,CO,Colombia,yes
c16af8d7-9389-4009-bf13-f5059c89c7f9,Bolton International Film Festival,GB,United Kingdom,yes
98f7d4ca-c1c7-4c9e-942a-a48ad2627931,Boston Independent Film Festival,,,no
