festival_name,event_type,first_year,last_year,years_active,unique_film_count,total_screenings,awards_given,nominations_given,mentions_given,distinct_years_with_events,genres_represented,genre_distribution,countries_represented,country_list,country_codes
Encounters Short Film and Animation Festival,festival,2015,2025,11,754,851,3,0,1,10,"Action, Adventure, Animation, Avant-Garde, Biography, Comedy, Crime, Documentary, Drama, Family, Fantasy, History, Horror, LGBTQ+, Music, Musical, Mystery, Romance, Sci-Fi, Short, Silent, Thriller","{""Crime"": 1, ""Drama"": 78, ""Music"": 3, ""Short"": 742, ""Action"": 1, ""Comedy"": 39, ""Family"": 3, ""Horror"": 22, ""LGBTQ+"": 27, ""Sci-Fi"": 11, ""Silent"": 1, ""Fantasy"": 12, ""History"": 2, ""Musical"": 1, ""Mystery"": 1, ""Romance"": 3, ""Thriller"": 5, ""Adventure"": 1, ""Animation"": 330, ""Biography"": 1, ""Avant-Garde"": 35, ""Documentary"": 72}",80,"Afghanistan, Albania, Argentina, Australia, Austria, Bangladesh, Belgium, Bosnia and Herzegovina, Brazil, Bulgaria, Cambodia, Canada, Chile, China, Colombia, Croatia, Cyprus, Czechia, Democratic Republic of the Congo, Denmark, Egypt, Estonia, Faroe Islands, Finland, France, Germany, Ghana, Greece, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Ireland, Israel, Italy, Japan, Kazakhstan, Kenya, Lebanon, Lithuania, Malaysia, Malta, Mexico, Morocco, Netherlands, Nigeria, Norway, Pakistan, Palestine, Panama, Philippines, Poland, Portugal, Qatar, Republic of Kosovo, Romania, Russia, Serbia, Singapore, Slovakia, Slovenia, Somalia, South Africa, South Korea, Spain, Sri Lanka, Sudan, Sweden, Switzerland, Syrian Arab Republic, Taiwan, Thailand, Togo, Turkey, United Kingdom, United States, Vietnam, Zimbabwe","AF, AL, AR, AT, AU, BA, BD, BE, BG, BR, CA, CD, CH, CL, CN, CO, CY, CZ, DE, DK, EE, EG, ES, FI, FO, FR, GB, GH, GR, HK, HR, HU, ID, IE, IL, IN, IR, IS, IT, JP, KE, KH, KR, KZ, LB, LK, LT, MA, MT, MX, MY, NG, NL, NO, PA, PH, PK, PL, PS, PT, QA, RO, RS, RU, SD, SE, SG, SI, SK, SO, SY, TG, TH, TR, TW, US, VN, XK, ZA, ZW"
Palm Springs International ShortFest,festival,2015,2025,11,142,143,8,0,5,11,"Animation, Comedy, Documentary, Drama, Family, Fantasy, Horror, LGBTQ+, Musical, Sci-Fi, Short, Thriller","{""Drama"": 28, ""Short"": 142, ""Comedy"": 8, ""Family"": 1, ""Horror"": 4, ""LGBTQ+"": 7, ""Sci-Fi"": 1, ""Fantasy"": 3, ""Musical"": 1, ""Thriller"": 1, ""Animation"": 58, ""Documentary"": 7}",53,"Afghanistan, Argentina, Australia, Austria, Belgium, Brazil, Canada, China, Czechia, Democratic Republic of the Congo, Denmark, Egypt, Estonia, Faroe Islands, Finland, France, Germany, Ghana, Greece, Hong Kong, Hungary, Iceland, India, Indonesia, Iran, Ireland, Israel, Italy, Japan, Lebanon, Lithuania, Malaysia, Mexico, Morocco, Netherlands, Nigeria, Norway, Poland, Qatar, Romania, Singapore, Slovakia, Slovenia, South Africa, South Korea, Spain, Sudan, Sweden, Switzerland, Thailand, United Kingdom, United States, Vietnam","AF, AR, AT, AU, BE, BR, CA, CD, CH, CN, CZ, DE, DK, EE, EG, ES, FI, FO, FR, GB, GH, GR, HK, HU, ID, IE, IL, IN, IR, IS, IT, JP, KR, LB, LT, MA, MX, MY, NG, NL, NO, PL, QA, RO, SD, SE, SG, SI, SK, TH, US, VN, ZA"
Tallinn Black Nights Film Festival,festival,2017,2025,9,140,143,1,0,0,9,"Action, Animation, Avant-Garde, Biography, Comedy, Documentary, Drama, Fantasy, History, Horror, LGBTQ+, Music, Musical, Romance, Sci-Fi, Short, Thriller","{""Drama"": 17, ""Music"": 1, ""Short"": 139, ""Action"": 1, ""Comedy"": 7, ""Horror"": 4, ""LGBTQ+"": 6, ""Sci-Fi"": 1, ""Fantasy"": 2, ""History"": 1, ""Musical"": 1, ""Romance"": 1, ""Thriller"": 1, ""Animation"": 93, ""Biography"": 1, ""Avant-Garde"": 6, ""Documentary"": 8}",41,"Austria, Belgium, Brazil, Cambodia, Canada, China, Croatia, Czechia, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Greece, Hong Kong, Hungary, India, Iran, Ireland, Israel, Italy, Japan, Lebanon, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Russia, Serbia, Singapore, Slovakia, Slovenia, South Korea, Spain, Sweden, Switzerland, United Kingdom, United States","AT, BE, BR, CA, CH, CN, CZ, DE, DK, EE, ES, FI, FO, FR, GB, GR, HK, HR, HU, IE, IL, IN, IR, IT, JP, KH, KR, LB, LT, NL, NO, PL, PT, RO, RS, RU, SE, SG, SI, SK, US"
Annecy International Animation Festival,festival,2015,2025,11,89,96,17,0,0,10,"Animation, Avant-Garde, Comedy, Documentary, Fantasy, LGBTQ+, Romance, Sci-Fi, Short","{""Short"": 86, ""Comedy"": 1, ""LGBTQ+"": 3, ""Sci-Fi"": 1, ""Fantasy"": 1, ""Romance"": 1, ""Animation"": 87, ""Avant-Garde"": 3, ""Documentary"": 4}",35,"Argentina, Australia, Austria, Belgium, Bulgaria, Canada, Colombia, Croatia, Czechia, Finland, France, Germany, Hong Kong, Hungary, India, Indonesia, Ireland, Israel, Italy, Japan, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Serbia, Singapore, Slovenia, Sweden, Switzerland, Syrian Arab Republic, Turkey, United Kingdom, United States","AR, AT, AU, BE, BG, CA, CH, CO, CZ, DE, FI, FR, GB, HK, HR, HU, ID, IE, IL, IN, IT, JP, LT, NL, NO, PL, PT, RO, RS, SE, SG, SI, SY, TR, US"
Clermont-Ferrand International Short Film Festival,festival,1999,2026,28,85,95,12,0,3,12,"Animation, Avant-Garde, Comedy, Documentary, Drama, Fantasy, Horror, LGBTQ+, Music, Musical, Romance, Sci-Fi, Short, Thriller","{""Drama"": 16, ""Music"": 1, ""Short"": 85, ""Comedy"": 3, ""Horror"": 1, ""LGBTQ+"": 3, ""Sci-Fi"": 1, ""Fantasy"": 3, ""Musical"": 1, ""Romance"": 1, ""Thriller"": 2, ""Animation"": 43, ""Avant-Garde"": 4, ""Documentary"": 8}",41,"Afghanistan, Argentina, Austria, Bangladesh, Belgium, Brazil, Canada, China, Czechia, Democratic Republic of the Congo, Egypt, Estonia, France, Germany, Ghana, Greece, Hungary, Iceland, India, Israel, Italy, Japan, Lebanon, Lithuania, Morocco, Netherlands, Norway, Palestine, Portugal, Qatar, Romania, Russia, Singapore, Slovakia, Slovenia, Somalia, Sudan, Switzerland, Thailand, United Kingdom, United States","AF, AR, AT, BD, BE, BR, CA, CD, CH, CN, CZ, DE, EE, EG, FR, GB, GH, GR, HU, IL, IN, IS, IT, JP, LB, LT, MA, NL, NO, PS, PT, QA, RO, RU, SD, SG, SI, SK, SO, TH, US"
Guanajuato International Film Festival,festival,2015,2025,11,78,79,5,0,6,10,"Animation, Avant-Garde, Comedy, Crime, Documentary, Drama, Horror, LGBTQ+, Music, Romance, Short","{""Crime"": 1, ""Drama"": 6, ""Music"": 1, ""Short"": 76, ""Comedy"": 1, ""Horror"": 1, ""LGBTQ+"": 4, ""Romance"": 1, ""Animation"": 51, ""Avant-Garde"": 3, ""Documentary"": 7}",36,"Austria, Bosnia and Herzegovina, Cambodia, Canada, China, Croatia, Czechia, Denmark, Estonia, Finland, France, Germany, Hong Kong, Hungary, Israel, Italy, Japan, Lebanon, Lithuania, Mexico, Netherlands, Palestine, Philippines, Poland, Portugal, Qatar, Romania, Singapore, Slovakia, Slovenia, Sudan, Switzerland, Taiwan, Thailand, United Kingdom, United States","AT, BA, CA, CH, CN, CZ, DE, DK, EE, FI, FR, GB, HK, HR, HU, IL, IT, JP, KH, LB, LT, MX, NL, PH, PL, PS, PT, QA, RO, SD, SG, SI, SK, TH, TW, US"
Festival du Nouveau Cinéma,festival,2016,2025,10,57,58,3,0,3,9,"Animation, Avant-Garde, Comedy, Documentary, Drama, Fantasy, LGBTQ+, Musical, Romance, Short, Thriller","{""Drama"": 7, ""Short"": 57, ""Comedy"": 1, ""LGBTQ+"": 1, ""Fantasy"": 2, ""Musical"": 1, ""Romance"": 2, ""Thriller"": 1, ""Animation"": 29, ""Avant-Garde"": 7, ""Documentary"": 6}",25,"Austria, Brazil, Cambodia, Canada, China, Colombia, Czechia, Denmark, Finland, France, Germany, Greece, Hong Kong, Italy, Japan, Lithuania, Philippines, Portugal, Qatar, Slovakia, Somalia, Switzerland, Taiwan, Thailand, United Kingdom","AT, BR, CA, CH, CN, CO, CZ, DE, DK, FI, FR, GB, GR, HK, IT, JP, KH, LT, PH, PT, QA, SK, SO, TH, TW"
Helsinki International Film Festival - Love & Anarchy,festival,2015,2025,11,50,52,0,0,0,9,"Action, Animation, Avant-Garde, Comedy, Documentary, Drama, Fantasy, Horror, LGBTQ+, Music, Mystery, Romance, Sci-Fi, Short","{""Drama"": 14, ""Music"": 1, ""Short"": 48, ""Action"": 1, ""Comedy"": 3, ""Horror"": 4, ""LGBTQ+"": 5, ""Sci-Fi"": 1, ""Fantasy"": 2, ""Mystery"": 1, ""Romance"": 1, ""Animation"": 22, ""Avant-Garde"": 4, ""Documentary"": 4}",28,"Australia, Austria, Belgium, Brazil, Canada, Czechia, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lebanon, Lithuania, Netherlands, Norway, Portugal, Qatar, Romania, Slovakia, Somalia, Spain, Sweden, United Kingdom, United States","AT, AU, BE, BR, CA, CZ, DE, EE, ES, FI, FR, GB, GR, HU, IE, IS, IT, LB, LT, NL, NO, PT, QA, RO, SE, SK, SO, US"
Athens International Film and Video Festival,festival,2019,2025,7,50,50,1,0,1,6,"Animation, Avant-Garde, Documentary, Drama, History, Horror, LGBTQ+, Short","{""Drama"": 7, ""Short"": 49, ""Horror"": 2, ""LGBTQ+"": 2, ""History"": 1, ""Animation"": 28, ""Avant-Garde"": 3, ""Documentary"": 3}",32,"Australia, Austria, Belgium, Brazil, Canada, China, Colombia, Finland, France, Germany, Greece, Hong Kong, Hungary, India, Indonesia, Iran, Ireland, Israel, Italy, Japan, Poland, Portugal, Qatar, Romania, Singapore, South Korea, Sudan, Taiwan, Thailand, United Kingdom, United States, Vietnam","AT, AU, BE, BR, CA, CN, CO, DE, FI, FR, GB, GR, HK, HU, ID, IE, IL, IN, IR, IT, JP, KR, PL, PT, QA, RO, SD, SG, TH, TW, US, VN"
IndieLisboa International Independent Film Festival,festival,2016,2025,10,50,54,5,0,0,9,"Animation, Avant-Garde, Comedy, Documentary, Drama, Horror, LGBTQ+, Musical, Sci-Fi, Short","{""Drama"": 3, ""Short"": 49, ""Comedy"": 1, ""Horror"": 2, ""LGBTQ+"": 3, ""Sci-Fi"": 1, ""Musical"": 1, ""Animation"": 30, ""Avant-Garde"": 1, ""Documentary"": 1}",22,"Austria, Brazil, Canada, Czechia, Denmark, Estonia, France, Germany, Hungary, Iran, Netherlands, Palestine, Poland, Portugal, Russia, Slovenia, Somalia, Spain, Sweden, Switzerland, United Kingdom, United States","AT, BR, CA, CH, CZ, DE, DK, EE, ES, FR, GB, HU, IR, NL, PL, PS, PT, RU, SE, SI, SO, US"
