film_id,title,production_year,directors,countries,country_codes,genres,total_festivals,total_screenings,awards_won,nominations,mentions,first_screening_year,last_screening_year,circulation_span_years
f91f63fd-1c16-4e30-9301-67d3b36ee734,The Favourite,2018,Yorgos Lanthimos,"Ireland, United Kingdom","GB, IE","Biography, Drama, History, LGBTQ+",47,135,51,59,0,2018,2020,2
773e9016-4c93-43ec-9744-1e8b9a530057,Ice Merchants,2022,João Gonzalez,"France, United Kingdom","FR, GB","Animation, Short",36,39,9,2,3,2022,2024,2
e996fe27-a54e-4fb6-941f-590b19064298,Neon Phantom,2021,Leonardo Martinelli,Brazil,BR,"Musical, Short",34,36,5,0,0,2021,2025,4
10f46246-589e-4474-8262-c0d0ccd60a1c,Hardly Working,2022,"Leonhard Müllner, Michael Stumpf, Robin Klengel, Susanna Flock",Austria,AT,Short,31,35,1,0,0,2022,2026,4
8b6e9f05-797a-4d76-a3d4-527019c92dcb,Warsha,2022,Dania Bdeir,"France, Lebanon","FR, LB","Drama, LGBTQ+, Short",31,33,5,0,1,2022,2025,3
7368416a-3a3f-4818-8287-163a288ed976,Lesbian Space Princess,2025,"Emma Hough Hobbs, Leela Varghese",Australia,AU,"Animation, Comedy, Fantasy, LGBTQ+, Romance, Sci-Fi",30,31,4,0,1,2025,2026,1
67795a6d-7e73-4113-95c5-7488dfe13fa9,Razeh-del,2024,Maryam Tafakory,"Iran, United Kingdom","GB, IR",Short,30,30,6,0,0,2024,2026,2
7a451b72-c33e-4606-aedd-f254cc9a8770,Dustin,2020,Naïla Guiguet,France,FR,"Drama, LGBTQ+, Short",29,30,3,0,0,2020,2022,2
46d638cc-28e6-4ff6-bbfe-01b324f3f5ac,Flores del otro patio,2022,Jorge Cadena,"Colombia, Switzerland","CH, CO","LGBTQ+, Short",28,30,0,1,0,2022,2025,3
e65b71e7-9205-4b60-bae2-5ce8c695fbfb,Mast-Del,2023,Maryam Tafakory,"Iran, United Kingdom","GB, IR",Short,27,29,2,2,1,2023,2025,2
7822e3da-4af3-465d-90d5-2cdcdd45f278,Nimic,2019,Yorgos Lanthimos,"Germany, United States","DE, US","Drama, Short",27,27,0,0,0,2019,2024,5
b482da52-eafa-41ae-9b5f-4f12872d11ed,Percebes,2024,"Alexandra Ramires, Laura Gonçalves","France, Portugal","FR, PT","Animation, Short",27,28,2,0,1,2024,2025,1
f746f9e1-2739-400c-84de-2d7aa410a343,"Love, Dad",2021,Diana Cam Van Nguyen,"Czechia, Slovakia","CZ, SK","Animation, Documentary, Short",26,28,6,1,0,2021,2024,3
6449ff53-ce50-4deb-b51a-504933ecea28,Hurikán,2024,Jan Saska,"Czechia, France","CZ, FR","Animation, Short",24,24,1,0,0,2024,2026,2
e3f65e51-db8a-4af6-b68a-762dd0285cb9,I Promise You Paradise,2023,Mostafa Morad,"France, Qatar","FR, QA","Drama, Short",24,24,1,1,0,2023,2024,1
edef7d5c-2fbf-4fce-a5c7-e589ae2ede4a,Anxious Body,2021,Yoriko Mizushiri,"France, Japan","FR, JP","Animation, Short",23,23,2,0,1,2021,2025,4
fa96324e-735c-417a-a2e3-2e4f846c4941,Train Again,2021,Peter Tscherkassky,Austria,AT,"Avant-Garde, Documentary, Short",23,23,1,0,0,2021,2023,2
03becf3b-128a-4187-b780-9af1e3861be7,Zoon,2022,Jonatan Schwenk,Germany,DE,"Animation, Short",23,24,2,0,1,2022,2024,2
940d9351-58f0-4811-9d9d-17069353c989,Backflip,2022,Nikita Diakur,"France, Germany","DE, FR","Animation, Short",22,25,3,0,0,2022,2026,4
a0489a80-262a-44e7-be84-7655c95db788,Steakhouse,2021,Špela Čadež,"Germany, Slovenia","DE, SI","Animation, Short",22,23,2,0,4,2021,2024,3
ca6c16c6-8065-4cfe-a369-f6be1ee6ab04,The Orphan,2018,Carolina Markowicz,Brazil,BR,"Drama, LGBTQ+, Short",22,23,5,0,2,2018,2019,1
0f241cb2-2d43-4a19-bc17-bdbaa6c1d4b8,Two Black Boys in Paradise,2025,Baz Sells,United Kingdom,GB,"Animation, LGBTQ+, Short",22,22,1,2,1,2025,2026,1
82b552a9-543c-49e3-b42b-5212c185080a,"The Flowers Stand, Silently Witnessing",2024,Theo Panagopoulos,United Kingdom,GB,"Documentary, Short",21,21,2,2,0,2024,2026,2
bd00996b-300d-4a29-810d-1923b0a49c8f,Watermelon Juice,2019,Irene Moray,Spain,ES,Short,21,21,3,1,0,2019,2020,1
2dce79a3-8699-4be9-a849-97e07056276f,45th Parallel,2022,Lawrence Abu Hamdan,United Kingdom,GB,Short,20,21,0,0,0,2022,2025,3
4f27dc26-f334-44f1-ab81-ca86d3dd4fd0,Being John Smith,2024,John Smith,United Kingdom,GB,"Avant-Garde, Short",20,20,1,1,0,2024,2026,2
c6198f75-aaa3-4c71-847b-fd8ed97cc489,I Am Afraid to Forget Your Face,2020,Sameh Alaa,"Belgium, Qatar","BE, QA","Drama, Short",20,20,2,0,1,2020,2025,5
853dc27f-1794-4d47-ad63-8638b833bdcb,Maalbeek,2020,Ismaël Joffroy-Chandoutis,France,FR,"Animation, Documentary, Short",20,22,6,0,0,2020,2023,3
