production_country,production_country_code,film_count,total_screenings,festivals_reached,avg_screenings_per_film,avg_festivals_per_film,total_awards_won,total_nominations,first_screening_year,last_screening_year,top_5_festivals
United Kingdom,GB,297,1221,233,4.1,0.8,114,95,2015,2026,Encounters Short Film and Animation Festival; Tallinn Black Nights Film Festival; Edinburgh International Film Festival; Palm Springs International ShortFest; BFI London Film Festival
France,FR,66,704,184,10.7,2.8,57,6,2015,2026,Encounters Short Film and Animation Festival; Clermont-Ferrand International Short Film Festival; Tallinn Black Nights Film Festival; Palm Springs International ShortFest; Annecy International Animation Festival
United States,US,59,305,114,5.2,1.9,18,1,2016,2025,Encounters Short Film and Animation Festival; Palm Springs International ShortFest; SXSW Film Festival; Guanajuato International Film Festival; Chicago International Film Festival
Germany,DE,56,400,117,7.1,2.1,17,1,2016,2026,Encounters Short Film and Animation Festival; Tallinn Black Nights Film Festival; DOK Leipzig; Annecy International Animation Festival; Guanajuato International Film Festival
Switzerland,CH,35,277,97,7.9,2.8,4,2,1998,2026,Encounters Short Film and Animation Festival; Solothurn Film Festival; Annecy International Animation Festival; Locarno International Film Festival; Clermont-Ferrand International Short Film Festival
Canada,CA,26,204,84,7.8,3.2,25,11,2016,2025,Encounters Short Film and Animation Festival; Festival du Nouveau Cinéma; Annecy International Animation Festival; Palm Springs International ShortFest; Tallinn Black Nights Film Festival
Belgium,BE,21,142,70,6.8,3.3,13,3,1998,2025,Encounters Short Film and Animation Festival; Clermont-Ferrand International Short Film Festival; Palm Springs International ShortFest; Tallinn Black Nights Film Festival; Ghent Film Festival
Poland,PL,18,92,34,5.1,1.9,2,1,2015,2025,Encounters Short Film and Animation Festival; Krakow Film Festival; Warsaw International Film Festival; Tallinn Black Nights Film Festival; Annecy International Animation Festival
Norway,NO,16,59,29,3.7,1.8,2,1,2016,2026,Encounters Short Film and Animation Festival; Bergen International Film Festival; Reykjavik International Film Festival; Tromsø International Film Festival; Annecy International Animation Festival
China,CN,15,74,43,4.9,2.9,1,0,2019,2025,Encounters Short Film and Animation Festival; Fantasia Film Festival; Palm Springs International ShortFest; Athens International Film and Video Festival; FIRST International Film Festival Xining
Ireland,IE,14,194,76,13.9,5.4,56,64,2015,2026,Encounters Short Film and Animation Festival; Irish Film and Television Awards; SXSW Film Festival; Galway Film Fleadh; Chicago International Film Festival
Greece,GR,13,95,53,7.3,4.1,10,0,2016,2025,Encounters Short Film and Animation Festival; Athens International Film Festival; Thessaloniki Film Festival; Palm Springs International ShortFest; Festival du Nouveau Cinéma
Austria,AT,12,138,70,11.5,5.8,8,2,2019,2026,Encounters Short Film and Animation Festival; Diagonale: Festival of Austrian Film; Festival du Nouveau Cinéma; Dokufest International Documentary and Short Film Festival; Filmfestival Max Ophüls Preis
Finland,FI,12,74,43,6.2,3.6,2,0,2018,2025,Encounters Short Film and Animation Festival; Helsinki International Film Festival - Love & Anarchy; Palm Springs International ShortFest; Nordisk Panorama; Tallinn Black Nights Film Festival
Netherlands,NL,11,58,40,5.3,3.6,4,0,2015,2025,Encounters Short Film and Animation Festival; Palm Springs International ShortFest; Bilbao International Festival of Documentary and Short Films; Annecy International Animation Festival; Raindance Film Festival
Italy,IT,10,73,51,7.3,5.1,5,3,2015,2025,Encounters Short Film and Animation Festival; Palm Springs International ShortFest; Ann Arbor Film Festival; Annecy International Animation Festival; DOK Leipzig
Sweden,SE,10,57,40,5.7,4.0,1,1,2016,2025,Encounters Short Film and Animation Festival; Palm Springs International ShortFest; IndieLisboa International Independent Film Festival; Göteborg Film Festival; Helsinki International Film Festival - Love & Anarchy
Australia,AU,10,58,41,5.8,4.1,4,0,2018,2026,Encounters Short Film and Animation Festival; Sydney Film Festival; Melbourne International Film Festival; Queer Lisboa; New Zealand International Film Festival
Portugal,PT,9,107,63,11.9,7.0,6,3,2019,2025,Encounters Short Film and Animation Festival; Annecy International Animation Festival; Curtas Vila do Conde International Film Festival; IndieLisboa International Independent Film Festival; Internationale Kurzfilmtage Winterthur
Japan,JP,9,69,40,7.7,4.4,3,0,2019,2025,Encounters Short Film and Animation Festival; Annecy International Animation Festival; Bilbao International Festival of Documentary and Short Films; Festival du Nouveau Cinéma; Guanajuato International Film Festival
Lithuania,LT,8,75,44,9.4,5.5,2,2,2019,2025,Encounters Short Film and Animation Festival; Vilnius International Film Festival (Kino Pavasaris); Palm Springs International ShortFest; Clermont-Ferrand International Short Film Festival; Helsinki International Film Festival - Love & Anarchy
Brazil,BR,8,106,73,13.3,9.1,16,0,2018,2025,Encounters Short Film and Animation Festival; Rio de Janeiro International Film Festival; Curtacinema - Rio de Janeiro International Short Film Festival; IndieLisboa International Independent Film Festival; Tallinn Black Nights Film Festival
Czechia,CZ,8,96,58,12.0,7.3,18,2,2019,2026,Encounters Short Film and Animation Festival; Palm Springs International ShortFest; Bilbao International Festival of Documentary and Short Films; Annecy International Animation Festival; Sundance Film Festival
Spain,ES,7,52,36,7.4,5.1,4,1,2015,2025,Encounters Short Film and Animation Festival; Valladolid International Film Festival; Berlin International Film Festival; Buenos Aires International Festival of Independent Cinema; Ghent Film Festival
Hong Kong,HK,6,48,37,8.0,6.2,4,0,2019,2025,Encounters Short Film and Animation Festival; Palm Springs International ShortFest; Cannes Film Festival; Guanajuato International Film Festival; Tallinn Black Nights Film Festival
