festival_a,festival_b,shared_film_count
Encounters Short Film and Animation Festival,Palm Springs International ShortFest,142
Encounters Short Film and Animation Festival,Tallinn Black Nights Film Festival,140
Encounters Short Film and Animation Festival,Annecy International Animation Festival,89
Clermont-Ferrand International Short Film Festival,Encounters Short Film and Animation Festival,85
Encounters Short Film and Animation Festival,Guanajuato International Film Festival,78
Encounters Short Film and Animation Festival,Festival du Nouveau Cinéma,57
Encounters Short Film and Animation Festival,Athens International Film and Video Festival,50
Encounters Short Film and Animation Festival,IndieLisboa International Independent Film Festival,50
Encounters Short Film and Animation Festival,Helsinki International Film Festival - Love & Anarchy,50
Encounters Short Film and Animation Festival,Internationale Kurzfilmtage Winterthur,46
Krakow Film Festival,Encounters Short Film and Animation Festival,46
Encounters Short Film and Animation Festival,Melbourne International Film Festival,44
Encounters Short Film and Animation Festival,BFI London Film Festival,43
Tallinn Black Nights Film Festival,Palm Springs International ShortFest,42
Encounters Short Film and Animation Festival,Curtas Vila do Conde International Film Festival,42
Encounters Short Film and Animation Festival,DOK Leipzig,41
Clermont-Ferrand International Short Film Festival,Palm Springs International ShortFest,40
Tallinn Black Nights Film Festival,Annecy International Animation Festival,39
SXSW Film Festival,Encounters Short Film and Animation Festival,38
Edinburgh International Film Festival,Encounters Short Film and Animation Festival,38
Seattle International Film Festival,Encounters Short Film and Animation Festival,38
FEST - New Directors / New Films,Encounters Short Film and Animation Festival,38
Encounters Short Film and Animation Festival,Bilbao International Festival of Documentary and Short Films,36
Encounters Short Film and Animation Festival,Dokufest International Documentary and Short Film Festival,35
Cannes Film Festival,Encounters Short Film and Animation Festival,33
Clermont-Ferrand International Short Film Festival,Tallinn Black Nights Film Festival,32
Encounters Short Film and Animation Festival,Milwaukee International Film Festival,32
AFI Fest,Encounters Short Film and Animation Festival,31
Ann Arbor Film Festival,Encounters Short Film and Animation Festival,31
São Paulo International Short Film Festival – Curta Kinoforum,Encounters Short Film and Animation Festival,31
Tallinn Black Nights Film Festival,Guanajuato International Film Festival,31
Encounters Short Film and Animation Festival,Toronto International Film Festival,29
Encounters Short Film and Animation Festival,Vancouver International Film Festival,29
Palm Springs International ShortFest,Guanajuato International Film Festival,29
Encounters Short Film and Animation Festival,Locarno International Film Festival,28
Sundance Film Festival,Encounters Short Film and Animation Festival,28
Solothurn Film Festival,Encounters Short Film and Animation Festival,28
Encounters Short Film and Animation Festival,Reykjavik International Film Festival,28
Encounters Short Film and Animation Festival,Oberhausen International Short Film Festival,28
Warsaw International Film Festival,Encounters Short Film and Animation Festival,27
Encounters Short Film and Animation Festival,Chicago International Film Festival,27
Guanajuato International Film Festival,Annecy International Animation Festival,27
Encounters Short Film and Animation Festival,Calgary International Film Festival,27
Encounters Short Film and Animation Festival,Sarajevo Film Festival,27
Encounters Short Film and Animation Festival,Kurzfilm Festival Hamburg,27
Encounters Short Film and Animation Festival,International Film Festival Rotterdam,26
Ghent Film Festival,Encounters Short Film and Animation Festival,26
Encounters Short Film and Animation Festival,Sitges - Catalonian International Film Festival,25
Palm Springs International ShortFest,Annecy International Animation Festival,25
Encounters Short Film and Animation Festival,Hong Kong International Film Festival,25
Encounters Short Film and Animation Festival,Fantasia Film Festival,25
Tallinn Black Nights Film Festival,DOK Leipzig,24
Seattle International Film Festival,Palm Springs International ShortFest,24
Encounters Short Film and Animation Festival,Berlin International Film Festival,24
Krakow Film Festival,Tallinn Black Nights Film Festival,23
Encounters Short Film and Animation Festival,Raindance Film Festival,22
Encounters Short Film and Animation Festival,Valladolid International Film Festival,22
Helsinki International Film Festival - Love & Anarchy,Tallinn Black Nights Film Festival,21
Tallinn Black Nights Film Festival,Curtas Vila do Conde International Film Festival,21
Tallinn Black Nights Film Festival,Festival du Nouveau Cinéma,21
Clermont-Ferrand International Short Film Festival,Internationale Kurzfilmtage Winterthur,21
Clermont-Ferrand International Short Film Festival,Guanajuato International Film Festival,21
Palm Springs International ShortFest,Milwaukee International Film Festival,20
SXSW Film Festival,Palm Springs International ShortFest,20
Clermont-Ferrand International Short Film Festival,Annecy International Animation Festival,20
Encounters Short Film and Animation Festival,Ottawa International Animation Festival,20
Internationale Kurzfilmtage Winterthur,Tallinn Black Nights Film Festival,20
Tallinn Black Nights Film Festival,IndieLisboa International Independent Film Festival,20
Helsinki International Film Festival - Love & Anarchy,Palm Springs International ShortFest,20
Clermont-Ferrand International Short Film Festival,Curtas Vila do Conde International Film Festival,19
Encounters Short Film and Animation Festival,Beijing International Short Film Festival,19
Clermont-Ferrand International Short Film Festival,Festival du Nouveau Cinéma,19
Encounters Short Film and Animation Festival,San Francisco International Film Festival,19
Clermont-Ferrand International Short Film Festival,Helsinki International Film Festival - Love & Anarchy,19
Encounters Short Film and Animation Festival,Riga International Film Festival,19
Palm Springs International ShortFest,Athens International Film and Video Festival,19
Curtacinema - Rio de Janeiro International Short Film Festival,Encounters Short Film and Animation Festival,19
Tallinn Black Nights Film Festival,Athens International Film and Video Festival,18
Encounters Short Film and Animation Festival,Vilnius International Film Festival (Kino Pavasaris),18
Internationale Kurzfilmtage Winterthur,Palm Springs International ShortFest,18
Clermont-Ferrand International Short Film Festival,Melbourne International Film Festival,18
Palm Springs International ShortFest,Melbourne International Film Festival,18
Cannes Film Festival,Palm Springs International ShortFest,17
Tallinn Black Nights Film Festival,Toronto International Film Festival,17
Guadalajara International Film Festival,Encounters Short Film and Animation Festival,17
Krakow Film Festival,Annecy International Animation Festival,17
Hollyshorts Film Festival,Encounters Short Film and Animation Festival,17
DOK Leipzig,Annecy International Animation Festival,17
Tallinn Black Nights Film Festival,Melbourne International Film Festival,17
Sundance Film Festival,Palm Springs International ShortFest,17
São Paulo International Short Film Festival – Curta Kinoforum,Tallinn Black Nights Film Festival,17
Encounters Short Film and Animation Festival,Slamdance Film Festival,17
Encounters Short Film and Animation Festival,Milan Film Festival,16
Seville European Film Festival,Encounters Short Film and Animation Festival,16
Palm Springs International ShortFest,Calgary International Film Festival,16
Melbourne International Film Festival,Curtas Vila do Conde International Film Festival,16
Encounters Short Film and Animation Festival,Uppsala Short Film Festival,16
New York Film Festival,Encounters Short Film and Animation Festival,16
Edinburgh International Film Festival,Tallinn Black Nights Film Festival,16
Internationale Kurzfilmtage Winterthur,IndieLisboa International Independent Film Festival,15
Encounters Short Film and Animation Festival,Animafest Zagreb,15
AFI Fest,Palm Springs International ShortFest,15
Internationale Kurzfilmtage Winterthur,Festival du Nouveau Cinéma,15
Internationale Kurzfilmtage Winterthur,Helsinki International Film Festival - Love & Anarchy,15
Seattle International Film Festival,Tallinn Black Nights Film Festival,15
Helsinki International Film Festival - Love & Anarchy,Curtas Vila do Conde International Film Festival,15
Helsinki International Film Festival - Love & Anarchy,Guanajuato International Film Festival,15
Clermont-Ferrand International Short Film Festival,São Paulo International Short Film Festival – Curta Kinoforum,15
Encounters Short Film and Animation Festival,Landshut Short Film Festival,15
Encounters Short Film and Animation Festival,Stockholm International Film Festival,15
Bilbao International Festival of Documentary and Short Films,Tallinn Black Nights Film Festival,15
Internationale Kurzfilmtage Winterthur,Dokufest International Documentary and Short Film Festival,15
Guanajuato International Film Festival,Festival du Nouveau Cinéma,15
Encounters Short Film and Animation Festival,Queer Lisboa,15
Tallinn Black Nights Film Festival,Hong Kong International Film Festival,15
Encounters Short Film and Animation Festival,Cleveland International Film Festival,15
Clermont-Ferrand International Short Film Festival,Krakow Film Festival,15
Festival du Nouveau Cinéma,Annecy International Animation Festival,15
Palm Springs International ShortFest,BFI London Film Festival,15
Seattle International Film Festival,Guanajuato International Film Festival,14
Dokufest International Documentary and Short Film Festival,Curtas Vila do Conde International Film Festival,14
Palm Springs International ShortFest,IndieLisboa International Independent Film Festival,14
IndieLisboa International Independent Film Festival,Annecy International Animation Festival,14
Encounters Short Film and Animation Festival,Leiden Shorts,14
Bilbao International Festival of Documentary and Short Films,Guanajuato International Film Festival,14
Cannes Film Festival,Curtas Vila do Conde International Film Festival,14
Internationale Kurzfilmtage Winterthur,Curtas Vila do Conde International Film Festival,14
Bilbao International Festival of Documentary and Short Films,Palm Springs International ShortFest,14
Clermont-Ferrand International Short Film Festival,IndieLisboa International Independent Film Festival,14
Krakow Film Festival,Palm Springs International ShortFest,14
Helsinki International Film Festival - Love & Anarchy,Melbourne International Film Festival,13
Encounters Short Film and Animation Festival,Tribeca Film Festival,13
Athens International Film and Video Festival,Guanajuato International Film Festival,13
Encounters Short Film and Animation Festival,European Film Awards,13
Clermont-Ferrand International Short Film Festival,Dokufest International Documentary and Short Film Festival,13
Ghent Film Festival,Curtas Vila do Conde International Film Festival,13
Guanajuato International Film Festival,International Film Festival Rotterdam,13
Internationale Kurzfilmtage Winterthur,Guanajuato International Film Festival,13
Encounters Short Film and Animation Festival,Tirana International Film Festival,13
Tallinn Black Nights Film Festival,Milwaukee International Film Festival,13
Encounters Short Film and Animation Festival,Viennale,13
Tallinn Black Nights Film Festival,Vancouver International Film Festival,13
AFI Fest,Tallinn Black Nights Film Festival,13
Encounters Short Film and Animation Festival,Dublin International Film Festival,13
São Paulo International Short Film Festival – Curta Kinoforum,Palm Springs International ShortFest,13
Message to Man International Film Festival,Encounters Short Film and Animation Festival,13
Palm Springs International ShortFest,Vancouver International Film Festival,12
Curtacinema - Rio de Janeiro International Short Film Festival,Tallinn Black Nights Film Festival,12
Encounters Short Film and Animation Festival,Outfest: Los Angeles Gay & Lesbian Film Festival,12
Athens International Film and Video Festival,Annecy International Animation Festival,12
Krakow Film Festival,Guanajuato International Film Festival,12
Encounters Short Film and Animation Festival,Vienna Shorts,12
FEST - New Directors / New Films,Guanajuato International Film Festival,12
Ghent Film Festival,BFI London Film Festival,12
Clermont-Ferrand International Short Film Festival,Cannes Film Festival,12
Cannes Film Festival,Tallinn Black Nights Film Festival,12
Buenos Aires International Festival of Independent Cinema,Encounters Short Film and Animation Festival,12
Palm Springs International ShortFest,San Francisco International Film Festival,12
Brooklyn Film Festival,Encounters Short Film and Animation Festival,12
Toronto International Film Festival,Curtas Vila do Conde International Film Festival,12
Clermont-Ferrand International Short Film Festival,Milwaukee International Film Festival,12
Palm Springs International ShortFest,Toronto International Film Festival,12
Festival du Nouveau Cinéma,Curtas Vila do Conde International Film Festival,12
Ghent Film Festival,Melbourne International Film Festival,12
Clermont-Ferrand International Short Film Festival,Hong Kong International Film Festival,12
SXSW Film Festival,Tallinn Black Nights Film Festival,12
Encounters Short Film and Animation Festival,BAFTA Awards,12
Seattle International Film Festival,Milwaukee International Film Festival,12
Encounters Short Film and Animation Festival,Frameline: San Francisco International LGBTQ Film Festival,11
Internationale Kurzfilmtage Winterthur,Bilbao International Festival of Documentary and Short Films,11
Guanajuato International Film Festival,Vancouver International Film Festival,11
Clermont-Ferrand International Short Film Festival,Ottawa International Animation Festival,11
Krakow Film Festival,Festival du Nouveau Cinéma,11
Internationale Kurzfilmtage Winterthur,Melbourne International Film Festival,11
Helsinki International Film Festival - Love & Anarchy,Reykjavik International Film Festival,11
Encounters Short Film and Animation Festival,Rome Independent Film Festival,11
