festival_a,festival_b,festival_a_type,festival_b_type,shared_film_count,shared_film_titles
Encounters Short Film and Animation Festival,Palm Springs International ShortFest,festival,festival,142,"45th Parallel; A Period Piece; A Sister; Abada; Affairs of the Art; Al-Sit; All Inclusive; All the Crows in the World; An Ongoing List of Things Found in the Library Book Drop, Usually Being Used as Bookmarks; Anita; Anxious Body; Any Instant Whatever; Applesauce; As If the Earth Had Swallowed Them Up; Bad Seeds; Beyond Noh; Blieschow; Blind Spots; Boobs; Brutalia, Days of Labour; Bubble; Ceremony Night; Chomp It!; Christy; Da yie; Daughter; David; Dear Passengers; Don vs Lightning; Drive; Dummy; Dustin; Edmund the Magnificent; Exam; Filip; Flick; Follow Me Wherever I Go; Four Cups of Coffee or Three; Goldie; Good Thanks, You?; Goodbye Golovin; Heatwave; Helsinki Mansplaining Massacre; Hibiscus Season; Hippopotami; Homebird; Hungry Joe; Hurikán; I Am Afraid to Forget Your Face; Ice Merchants; Ieva; Impossible Figures and Other Stories II; In Our Skin; Inside Me; It's Alright; Jellyfish and Lobster; Kelly; Laika & Nemo; Learning Tagalog with Kayla; Lemongrass Girl; Like the Ones I Used to Know; Love is Just a Death Away; Love, Dad; Maalbeek; Majonezë; Man or Tree; Marlon Brando; Mind My Mind; Mthunzi; Mulika; Mushka; My Brother Luca; My Father's Room; My Hero; Neon Phantom; Night of the Living Dread; No Ill Will; Nude and Crude; Nuevo Rico; On the Surface; On Weary Wings Go By; Per Aspera Ad Astra; Pipes; Postpartum; Pria; Purpleboy; Radix; Rehearsal; Retirement Plan; Rouge; Satan; Self Scratch; Sh_t Happens; Sierra; Silence; So What If the Goats Die; Some Manifestations of the South; Souvenir, souvenir; Spotted Yellow; Stay Awake, Be Ready; Staying; Steakhouse; Still Working; Stomach Bug; Sushi Noh; Swatted; Sweet Nothing; Swiped; Symbiosis; The Afghanistans; The Christmas Gift; The Devil's Harmony; The Edge; The Golden Legend; The Last Ferry from Grass Island; The Opposites Game; The Orphan; The Tornado Outside; The Walk; There Were Four of Us; Three Songs for Benazir; Thrive; Tulip; Under the Lake; Unfolded; Upload to Story; Verisimilitude; Virtual Voice; Visible; Volcelest; Wade; Walk with Kings; Ward's Henna Party; Warsha; We Had Fun; Welcome to the Ball; Well Wishes My Love, Your Love; What Do You Know About the Water and the Moon; What Resonates in Silence; White Ant; White Eye; Zoon"
Encounters Short Film and Animation Festival,Tallinn Black Nights Film Festival,festival,festival,140,"3 Logical Exits; 4:3; A Little More Action; A Sister; Ablaze; Adiós; Affairs of the Art; All Inclusive; All the Crows in the World; Almost There; Amok; Andros; Animals; Anita; Anxious Body; Applesauce; Arka; As If the Earth Had Swallowed Them Up; Backflip; Backwards; Baigal Nuur - Lake Baikal; Being John Smith; Bench; Blieschow; Bloomers; Brutalia, Days of Labour; Carrousel; Coffin; Creepy Pasta Salad; Crumbs of Life; Darwin's Notebook; David; Dear Passengers; Dick Pics! (A Documentary); Don vs Lightning; Dustin; God is Shy; Gon, The Little Fox; Good Thanks, You?; Granny's Sexual Life; Gravedad; Hard On; Hardly Working; Heatwave; Helsinki Mansplaining Massacre; Hide; Hideous; Homebird; Hunting; Hysteresis; I Saw the Face of God in the Jet Wash; Ice Merchants; Il burattino e la balena; Impossible Figures and Other Stories I; Impossible Figures and Other Stories II; In the Company of Insects; Inside Me; Jill, Uncredited; Juice; Jupiter; Kids; Kitty; Live Forever; Love, Dad; Lunch on the Grass; Maalbeek; Matilda and the Spare Head; Mind My Mind; Miss Fortunate; Monachopsis; My Father's Room; Neon Phantom; Nestor; Nimic; Nora Can’t Score; Notes from Planet Three; Nox Insomnia; On Weary Wings Go By; Ostrich Theory; Our Pain; Outlets; Patision Avenue; Pearl Diver; Per Aspera Ad Astra; Percebes; Perfect City: The Mother; Pipes; Portrait of a Woman; Portrait of Suzanne; Precious; Purpleboy; Push This Button If You Begin to Panic; Pussy Love; Rain; Rainboy; Salvation Has No Name; Señor; Serial Parallels; Sierra; Soft Animals; Somni; Souvenir, souvenir; Speed; Spotted Yellow; Steakhouse; Store Policy; Sunrise in My Mind; Supper; Suruaika; Survivers; Symbiosis; The Best Orchestra in the World; The Devil's Harmony; The Dog; The Favourite; The Hangman at Home; The Last Train; The Mud Under My Window; The Orphan; The Passerby; The Physics of Sorrow; The Saboteur﻿; The Tent; The Undying Pain of Existence; The Visit; There Were Four of Us; They; Thing; Tie; Ties; To the Dusty Sea; Trona Pinnacles; TV or The Disturbance on Forest Hill Road; Uncle Thomas, Accounting for the Days; Wade; Watermelon Juice; What Resonates in Silence; Where Do We Go?; White Eye; Zoon"
Encounters Short Film and Animation Festival,Annecy International Animation Festival,festival,festival,89,"4:3; A Love/Hate Relationship; Adiós; Affairs of the Art; All My Scars Vanish in the Wind; Altötting; Amok; Annah the Javanese Girl; Anxious Body; Any Instant Whatever; Arka; Aubade; Backflip; Bad Mood; Bad Seeds; Baigal Nuur - Lake Baikal; Beyond Noh; Boddyssey; Boobs; Café froid; Carrousel; Coffin; Darwin's Notebook; Daughter; Depart at 22; Don't Lose Your Head; Drive; Erlking; Flow; Garrano; Granny's Sexual Life; Happiness Machine; Have a Nice Dog!; Hot Dog Hands; Hunting; Hurikán; Hysteresis; Il burattino e la balena; In Other Words; Inside Me; Ivan's Need; Juice; Kids; Kiko and the Animals; Lesbian Space Princess; Maalbeek; Matilda and the Spare Head; Maya, Give Me a Title; No, I Don't Want to Dance; Nude and Crude; Ovary-Acting; Per Aspera Ad Astra; Percebes; Pipes; Portrait of a Woman; Postpartum; Purpleboy; Radix; Rain; Ruben Leaves; Salvation Has No Name; Serial Parallels; Silent Chirping of Invisible Digits; Snow Bear; Snowfall; Soft Animals; Steakhouse; Story; Swatted; Sweet Like Lemons; Sweet Nothing; Symbiosis; The Boyg; The Crowd; The Dawn of Ape; The Passerby; The Physics of Sorrow; The Tiger Who Came to Tea; The Visit; There Were Four of Us; To the Dusty Sea; Tongue; Train Again; Tulip; Uncle Thomas, Accounting for the Days; Under the Skin, the Bark; Wade; What Resonates in Silence; World to Roam"
Clermont-Ferrand International Short Film Festival,Encounters Short Film and Animation Festival,festival,festival,85,"45th Parallel; A Lynx in the Town; A Quiet Man; A Sister; A Unique Opportunity; Abada; Affairs of the Art; Al-Sit; Amok; Anxious Body; Any Virgin Left Alive?; As If the Earth Had Swallowed Them Up; Aubade; BabyThump; Backflip; Café froid; Cherries; Chomp It!; Coffin; Crab Day; Da yie; David; Drive; Dummy; Dustin; Fantasy in a Concrete Jungle; Garrano; Genealogy of Violence; God is Shy; Granny's Sexual Life; Hide; Hideous; Hurikán; I Am Afraid to Forget Your Face; I Promise You Paradise; Ice Merchants; Il burattino e la balena; Kiko and the Animals; Laika & Nemo; Lamento; Lemongrass Girl; Love, Dad; Maalbeek; Man or Tree; Migrants; Mind My Mind; Mulika; Neon Phantom; Night of the Living Dread; On the Surface; Paradiso, XXXI, 108; Patision Avenue; Pearl Diver; Percebes; Precious; Push This Button If You Begin to Panic; Red Aninsri; Or, Tiptoeing on the Still Trembling Berlin Wall; Self Scratch; Sierra; Sleepless; So What If the Goats Die; Some Manifestations of the South; Souvenir, souvenir; Squish; Steakhouse; Store Policy; Swatted; The Battle of San Romano; The Bayview; The One Who Crossed the Sea; Three Songs for Benazir; Ties; Train Again; Transit; Trona Pinnacles; Volcelest; Wade; Ward's Henna Party; Warsha; White Ant; White Eye; Wildebeest; Will My Parents Come to See Me; World to Roam; Yellow"
Encounters Short Film and Animation Festival,Guanajuato International Film Festival,festival,festival,78,"3 Logical Exits; 45th Parallel; A Tiny Tale; Adiós; Affairs of the Art; Al-Sit; All Inclusive; Amok; Animals; Anxious Body; Any Instant Whatever; As If the Earth Had Swallowed Them Up; Backflip; Beyond Noh; Boobs; Cat and Bird; Chomp It!; Crumbs of Life; Darwin's Notebook; Dildotectonics; Dummy; Erlking; Filipiñana; Genealogy of Violence; Granny's Sexual Life; Hardly Working; Hide; Hideous; Hippopotami; Hot Dog Hands; Hunting; Ivan's Need; Jill, Uncredited; Juice; Lemongrass Girl; Like the Ones I Used to Know; Migrants; My Brother Luca; My Fat Arse and I; My Grandmother Is an Egg; Nimic; No, I Don't Want to Dance; Notes from Planet Three; Nude and Crude; Nuevo Rico; On Weary Wings Go By; Ostrich Theory; Our Perpetual Now; Pahokee; Paradiso, XXXI, 108; Pipes; Pussy Love; Rainboy; Sauna Security; Sensitive Content; Serial Parallels; Sh_t Happens; She Runs; Snow Bear; Souvenir, souvenir; Story; Sunrise in My Mind; Swatted; Sweet Like Lemons; Sweet Nothing; Take Me Somewhere Nice; The Dawn of Ape; The Frolic; The Lonely Orbit; The Unusual Bath of Mr. Otmar; To the Dusty Sea; Tulip; Two Black Boys in Paradise; Virtual Voice; Volcelest; Warsha; White Eye; Zoon"
Encounters Short Film and Animation Festival,Festival du Nouveau Cinéma,festival,festival,57,"A Lynx in the Town; All My Scars Vanish in the Wind; Altötting; Anxious Body; Any Virgin Left Alive?; Backflip; Baigal Nuur - Lake Baikal; Battlefield; Boobs; Cat and Bird; Cats & Dogs; Cherries; Filipiñana; Flores del otro patio; Happy New Year, Jim; Hardly Working; I Saw the Face of God in the Jet Wash; I Want; Ice Merchants; Idols Never Die; It's Raining Frogs Outside; Ivan's Need; Kiko and the Animals; Lake of Fire; Lemongrass Girl; Love, Dad; Maalbeek; Neon Phantom; NYC RGB; On Xerxes' Throne; Our Pain; Outlets; Pacific Club; Patision Avenue; Push This Button If You Begin to Panic; Red Aninsri; Or, Tiptoeing on the Still Trembling Berlin Wall; Serial Parallels; Sh_t Happens; She Runs; Sixty-Seven Milliseconds; Skyscraper Film; Somni; Store Policy; Sudden Light; Sunrise in My Mind; The Frolic; The Hangman at Home; The Physics of Sorrow; The Tiger Who Came to Tea; The Walk; To the Dusty Sea; Tongue; Train Again; Trona Pinnacles; Under the Lake; Volcelest; Will My Parents Come to See Me"
Encounters Short Film and Animation Festival,Helsinki International Film Festival - Love & Anarchy,festival,festival,50,"Affairs of the Art; All Inclusive; An Island; Backflip; Becoming Male in the Middle Ages; Cherries; Curupira and the Machine of the Destiny; Dildotectonics; Dummy; Dustin; Eating in the Dark; Family Life; Flying Potato and Other Misunderstandings; From.Beyond; Hard On; Helsinki Mansplaining Massacre; Hide; Hideous; I Am Afraid to Forget Your Face; I Promise You Paradise; Ice Merchants; Issues with My Other Half; Juice; Knives and Skin; Lesbian Space Princess; Love, Dad; Majonezë; Marlon Brando; My Home; Night of the Living Dread; No, I Don't Want to Dance; On the Surface; On Weary Wings Go By; Patision Avenue; Precious; Salvation Has No Name; Sh_t Happens; Sierra; Snowfall; Souvenir, souvenir; Strangers in the Dark; Sweet Like Lemons; The Christmas Gift; The Saboteur﻿; The Tent; Under the Lake; Warsha; Watermelon Juice; Will My Parents Come to See Me; Zoon"
Encounters Short Film and Animation Festival,IndieLisboa International Independent Film Festival,festival,festival,50,"45th Parallel; A Lynx in the Town; A Tiny Tale; A White-White Day; Affairs of the Art; Backflip; Becoming Male in the Middle Ages; Depart at 22; Dildotectonics; Family Bonds; Filip; Flick; Fussel; Hard On; Hard, Cracked the Wind; Hardly Working; Heatwave; Hugo & Holger; Hurikán; Impossible Figures and Other Stories II; In Curve Notes _ Stream; Issues with My Other Half; Ivan's Need; Kiko and the Animals; Lunch on the Grass; Maya, Give Me a Title; Neon Phantom; Nestor; No, I Don't Want to Dance; Outlets; Paradiso, XXXI, 108; Pipes; Push This Button If You Begin to Panic; Razeh-del; Ruben Leaves; Sierra; Sixty-Seven Milliseconds; Somni; Steakhouse; Survivers; Swatted; Symbiosis; The Bite; The Last People; The Thing That Ate the Birds; There Were Four of Us; Ties; Urban Solutions; Watermelon Juice; Will My Parents Come to See Me"
Encounters Short Film and Animation Festival,Athens International Film and Video Festival,festival,festival,50,"#21XOXO; A Tiny Tale; Al-Sit; All My Scars Vanish in the Wind; Amok; An Invitation; Anita; Annah the Javanese Girl; Anxious Body; Backflip; Bad Mood; Beyond Noh; Blieschow; Brutalia, Days of Labour; Bubble; Cat and Bird; Cat Days; Dawta; Dick Pics! (A Documentary); Goodbye Golovin; Grandad Was a Romantic; Hand; Hardly Working; Ice Merchants; Jupiter; Maalbeek; Mast-Del; My Grandmother Is an Egg; Nazarbazi; Night of the Living Dread; Percebes; Porcupine; Rain; Razeh-del; Rehearsal; Retirement Plan; Squish; Squish!; Stay Awake, Be Ready; Sweet Like Lemons; Symbiosis; Terror Nullius; The Christmas Gift; The Devil's Harmony; The Möbius Trip; The Orphan; Two Black Boys in Paradise; Urban Solutions; White Eye; Zoon"
Krakow Film Festival,Encounters Short Film and Animation Festival,festival,festival,46,"A Little Bit of Paradise; Affairs of the Art; As If the Earth Had Swallowed Them Up; Bad Mood; Beyond Noh; Café froid; Cherries; Co-ognition; Flores del otro patio; Granny's Sexual Life; Hard On; Hardly Working; Have a Nice Dog!; Hide; Hunting; Ice Merchants; Impossible Figures and Other Stories I; Impossible Figures and Other Stories II; Ivan's Need; Kids; Like the Ones I Used to Know; Love, Dad; Mom's Hair; Mother Didn't Know; My Father's Room; No Ill Will; Our Pain; Patision Avenue; Plantarium; Portrait of a Woman; Portrait of Suzanne; Prince in a Pastry Shop; Push This Button If You Begin to Panic; Radix; Rain; Story; Swatted; The Christmas Gift; The Hangman at Home; The Last People; The Tough; Uncle Thomas, Accounting for the Days; Wade; White Eye; Will My Parents Come to See Me; World to Roam"
